Unnamed: 0,cluster,mag,startday,startmonth,startyear,type,startdate
325668,5,7.5,1,1,2001,E,2001-01-01
325672,5,6.8,1,1,2001,E,2001-01-01
325705,5,6.4,2,1,2001,E,2001-01-02
325724,10,6.0,2,1,2001,E,2001-01-02
325955,10,7.1,9,1,2001,E,2001-01-09
326005,4,6.93,10,1,2001,E,2001-01-10
326023,4,6.0,11,1,2001,E,2001-01-11
326096,2,7.7,13,1,2001,E,2001-01-13
326177,7,6.4,15,1,2001,E,2001-01-15
326229,5,6.0,16,1,2001,E,2001-01-16
326230,5,6.9,16,1,2001,E,2001-01-16
326340,2,6.0,19,1,2001,E,2001-01-19
326349,10,6.3,19,1,2001,E,2001-01-19
326352,6,6.0,19,1,2001,E,2001-01-19
326640,5,7.7,26,1,2001,E,2001-01-26
326795,5,6.2,29,1,2001,E,2001-01-29
326926,12,6.0,1,2,2001,E,2001-02-01
327425,2,6.6,13,2,2001,E,2001-02-13
327441,5,7.4,13,2,2001,E,2001-02-13
327476,10,6.1,14,2,2001,E,2001-02-14
327478,10,6.2,14,2,2001,E,2001-02-14
327526,5,6.1,16,2,2001,E,2001-02-16
327596,4,6.2,17,2,2001,E,2001-02-17
327641,7,6.0,18,2,2001,E,2001-02-18
327875,5,6.2,24,2,2001,E,2001-02-24
327862,5,7.1,24,2,2001,E,2001-02-24
327907,5,6.2,25,2,2001,E,2001-02-25
327972,12,6.1,26,2,2001,E,2001-02-26
328081,10,6.7,28,2,2001,E,2001-02-28
328083,10,6.3,28,2,2001,E,2001-02-28
328098,2,6.1,28,2,2001,E,2001-02-28
328099,4,6.8,28,2,2001,E,2001-02-28
328350,10,6.4,6,3,2001,E,2001-03-06
328412,11,6.0,7,3,2001,E,2001-03-07
328641,5,6.0,14,3,2001,E,2001-03-14
328652,5,6.0,15,3,2001,E,2001-03-15
328671,3,6.0,15,3,2001,E,2001-03-15
328858,5,6.5,19,3,2001,E,2001-03-19
329007,12,6.0,23,3,2001,E,2001-03-23
329039,12,6.8,24,3,2001,E,2001-03-24
329481,5,6.4,4,4,2001,E,2001-04-04
329639,10,6.2,7,4,2001,E,2001-04-07
329720,3,6.7,9,4,2001,E,2001-04-09
329979,3,6.2,13,4,2001,E,2001-04-13
330050,12,6.0,14,4,2001,E,2001-04-14
330250,10,6.0,19,4,2001,E,2001-04-19
330287,10,6.2,19,4,2001,E,2001-04-19
330290,10,6.7,19,4,2001,E,2001-04-19
330586,12,6.0,26,4,2001,E,2001-04-26
330653,10,6.9,28,4,2001,E,2001-04-28
330724,2,6.2,29,4,2001,E,2001-04-29
330996,10,6.2,7,5,2001,E,2001-05-07
331098,10,6.3,9,5,2001,E,2001-05-09
331476,10,6.0,19,5,2001,E,2001-05-19
331489,2,6.3,20,5,2001,E,2001-05-20
331698,12,6.7,25,5,2001,E,2001-05-25
331709,5,6.3,25,5,2001,E,2001-05-25
331770,10,6.4,26,5,2001,E,2001-05-26
331828,5,6.0,28,5,2001,E,2001-05-28
331880,10,6.4,29,5,2001,E,2001-05-29
332025,10,7.2,3,6,2001,E,2001-06-03
332109,10,6.4,5,6,2001,E,2001-06-05
332134,10,6.0,5,6,2001,E,2001-06-05
332523,12,6.5,14,6,2001,E,2001-06-14
332550,12,6.0,15,6,2001,E,2001-06-15
332587,9,6.0,15,6,2001,E,2001-06-15
332600,10,6.0,16,6,2001,E,2001-06-16
332724,3,6.0,19,6,2001,E,2001-06-19
332886,3,6.1,23,6,2001,E,2001-06-23
332875,3,8.4,23,6,2001,E,2001-06-23
333009,12,6.0,24,6,2001,E,2001-06-24
333134,3,6.7,26,6,2001,E,2001-06-26
333153,3,6.1,26,6,2001,E,2001-06-26
333289,3,6.1,29,6,2001,E,2001-06-29
333343,10,6.1,1,7,2001,E,2001-07-01
333445,12,6.5,3,7,2001,E,2001-07-03
333479,10,6.5,4,7,2001,E,2001-07-04
333498,11,6.2,4,7,2001,E,2001-07-04
333542,3,6.6,5,7,2001,E,2001-07-05
333601,3,7.6,7,7,2001,E,2001-07-07
333695,10,6.2,8,7,2001,E,2001-07-08
334183,5,6.0,22,7,2001,E,2001-07-22
334227,3,6.4,24,7,2001,E,2001-07-24
334304,5,6.5,26,7,2001,E,2001-07-26
334446,4,6.34,28,7,2001,E,2001-07-28
334765,12,6.3,2,8,2001,E,2001-08-02
334872,10,6.7,6,8,2001,E,2001-08-06
335255,12,6.4,13,8,2001,E,2001-08-13
335507,10,7.1,21,8,2001,E,2001-08-21
335642,5,6.2,23,8,2001,E,2001-08-23
335690,2,6.1,25,8,2001,E,2001-08-25
335782,5,6.1,27,8,2001,E,2001-08-27
336028,5,6.1,2,9,2001,E,2001-09-02
336045,10,6.3,2,9,2001,E,2001-09-02
336449,5,6.5,11,9,2001,E,2001-09-11
336480,10,6.5,12,9,2001,E,2001-09-12
336566,4,6.0,14,9,2001,E,2001-09-14
336628,10,6.0,15,9,2001,E,2001-09-15
336742,5,6.0,18,9,2001,E,2001-09-18
337148,10,6.4,29,9,2001,E,2001-09-29
337218,10,6.2,30,9,2001,E,2001-09-30
337252,10,6.2,2,10,2001,E,2001-10-02
337411,5,6.2,7,10,2001,E,2001-10-07
337517,12,6.4,8,10,2001,E,2001-10-08
337516,12,6.5,8,10,2001,E,2001-10-08
337701,4,6.1,12,10,2001,E,2001-10-12
337733,12,7.0,12,10,2001,E,2001-10-12
337789,5,6.0,13,10,2001,E,2001-10-13
337982,2,6.0,17,10,2001,E,2001-10-17
338061,5,7.5,19,10,2001,E,2001-10-19
338141,10,6.7,21,10,2001,E,2001-10-21
338406,10,6.1,26,10,2001,E,2001-10-26
338605,10,7.0,31,10,2001,E,2001-10-31
338855,10,6.3,5,11,2001,E,2001-11-05
338995,2,6.1,9,11,2001,E,2001-11-09
339204,2,6.1,13,11,2001,E,2001-11-13
339209,12,6.0,13,11,2001,E,2001-11-13
339210,12,6.0,13,11,2001,E,2001-11-13
339260,5,7.8,14,11,2001,E,2001-11-14
339302,11,6.3,15,11,2001,E,2001-11-15
339543,5,6.2,20,11,2001,E,2001-11-20
339610,10,6.2,22,11,2001,E,2001-11-22
339609,10,6.3,22,11,2001,E,2001-11-22
339650,5,6.1,23,11,2001,E,2001-11-23
339782,10,6.0,27,11,2001,E,2001-11-27
339853,2,6.4,28,11,2001,E,2001-11-28
340038,10,6.0,2,12,2001,E,2001-12-02
340056,12,6.5,2,12,2001,E,2001-12-02
340094,10,6.4,3,12,2001,E,2001-12-03
340368,5,6.2,8,12,2001,E,2001-12-08
340430,5,6.1,9,12,2001,E,2001-12-09
340533,10,6.1,12,12,2001,E,2001-12-12
340535,10,7.1,12,12,2001,E,2001-12-12
340777,5,6.8,18,12,2001,E,2001-12-18
340961,10,6.0,22,12,2001,E,2001-12-22
341034,10,6.8,23,12,2001,E,2001-12-23
341190,10,6.2,27,12,2001,E,2001-12-27
341252,11,6.0,28,12,2001,E,2001-12-28
