Volcano_Number,Volcano_Name,Eruption_Number,Eruption_Category,Area_of_Activity,VEI,VEI_Modifier,Start_Year_Modifier,Start_Year,Start_Year_Uncertainty,Start_Month,Start_Day_Modifier,Start_Day,Start_Day_Uncertainty,Evidence_Method_(dating),End_Year_Modifier,End_Year,End_Year_Uncertainty,End_Month,End_Day_Modifier,End_Day,End_Day_Uncertainty,Latitude,Longitude,cluster,startdate,type
273030,Mayon,16810,Confirmed Eruption,,3,,,2001,,1,,8,,Historical Observations,,2001,,8,,8,,13.257,123.685,8,2001-01-08,V
284040,Miyakejima,18274,Confirmed Eruption,,2,,,2001,,1,,11,,Historical Observations,,2002,,11,,24,,34.094,139.526,7,2001-01-11,V
264090,Inielika,16258,Confirmed Eruption,Summit crater complex,2,,,2001,,1,,11,,Historical Observations,,2001,,3,?,0,,-8.73,120.98,6,2001-01-11,V
252120,Ulawun,15064,Confirmed Eruption,Summit and NNE flank,3,,,2001,,1,?,16,,Historical Observations,,2001,,5,,3,,-5.05,151.33,11,2001-01-16,V
344040,Telica,10935,Confirmed Eruption,,1,,,2001,,1,,17,,Historical Observations,,2001,,12,?,19,,12.602,-86.845,14,2001-01-17,V
311240,Cleveland,19816,Confirmed Eruption,,3,?,,2001,,2,<,2,,Historical Observations,,2001,,4,?,15,,52.825,-169.944,5,2001-02-02,V
223020,Nyamuragira,14081,Confirmed Eruption,North and SSE  flanks,2,?,,2001,,2,,6,,Historical Observations,,2001,,4,,5,4,-1.408,29.2,9,2001-02-06,V
241040,White Island,14495,Confirmed Eruption,MH vent,2,,,2001,,2,,19,,Historical Observations,,2001,,2,?,19,,-37.52,177.18,11,2001-02-19,V
233020,Fournaise  Piton de la,14380,Confirmed Eruption,South flank (below Dolomieu at ~2500 m),1,,,2001,,3,,27,,Historical Observations,,2001,,4,,4,,-21.244,55.708,2,2001-03-27,V
261140,Marapi,15478,Confirmed Eruption,Verbeek Crater,2,,,2001,,4,,13,,Historical Observations,,2001,,6,,5,,-0.381,100.473,10,2001-04-13,V
