Volcano_Number,Volcano_Name,Eruption_Number,Eruption_Category,Area_of_Activity,VEI,VEI_Modifier,Start_Year_Modifier,Start_Year,Start_Year_Uncertainty,Start_Month,Start_Day_Modifier,Start_Day,Start_Day_Uncertainty,Evidence_Method_(dating),End_Year_Modifier,End_Year,End_Year_Uncertainty,End_Month,End_Day_Modifier,End_Day,End_Day_Uncertainty,Latitude,Longitude,cluster,startdate,type
241050,Okataina,14508,Confirmed Eruption,Waimangu Geyser,1,,,1900,,1,,1,,Historical Observations,,1904,,11,,1,,-38.12,176.5,11,1900-01-01,0
283110,Asamayama,17762,Confirmed Eruption,,2,,,1900,,1,,22,,Historical Observations,,1901,,10,,0,,36.406,138.523,7,1900-01-22,0
273030,Mayon,16795,Confirmed Eruption,,2,,,1900,,3,,1,,Historical Observations,,1900,,3,,6,,13.257,123.685,8,1900-03-01,0
263300,Semeru,13571,Confirmed Eruption,,2,,,1900,,3,,29,,Historical Observations,,1900,,4,>,11,,-8.108,112.92,10,1900-03-29,0
233020,Fournaise  Piton de la,14306,Confirmed Eruption,East of Dolomieu,0,,,1900,,5,,11,,Historical Observations,,1900,,5,,30,,-21.244,55.708,2,1900-05-11,0
315020,Wrangell,20412,Confirmed Eruption,,2,?,,1900,,6,<,1,,Historical Observations,,,,,,,,62.006,-144.017,5,1900-06-01,0
261230,Dempo,15558,Confirmed Eruption,,2,,,1900,,6,,4,,Historical Observations,,1900,,6,,4,,-4.03,103.13,10,1900-06-04,0
283170,Adatarayama,17912,Confirmed Eruption,Numanotaira,2,,,1900,,7,,17,,Historical Observations,,1900,,7,,17,,37.647,140.281,7,1900-07-17,0
283120,Kusatsu-Shiranesan,17826,Confirmed Eruption,NE part of Yu-gama,1,,,1900,,10,,1,,Historical Observations,,1900,,10,,1,,36.618,138.528,7,1900-10-01,0
261230,Dempo,15559,Confirmed Eruption,,2,,,1900,,10,,26,,Historical Observations,,1900,,10,,27,,-4.03,103.13,10,1900-10-26,0
264030,Rinjani,16213,Confirmed Eruption,Gunung Barujari,2,,,1900,,11,,30,,Historical Observations,,1900,,12,,2,,-8.42,116.47,6,1900-11-30,0
263300,Semeru,13572,Confirmed Eruption,,2,,,1901,,1,,29,,Historical Observations,,1901,,1,>,30,,-8.108,112.92,10,1901-01-29,0
266030,Soputan,13584,Confirmed Eruption,,2,,,1901,,2,,4,,Historical Observations,,,,,,,,1.112,124.737,6,1901-02-04,0
233020,Fournaise  Piton de la,14307,Confirmed Eruption,East of Dolomieu,2,,,1901,,2,,21,,Historical Observations,,1901,,2,,25,,-21.244,55.708,2,1901-02-21,0
357010,Tupungatito,11894,Confirmed Eruption,,2,,,1901,,4,,1,,Historical Observations,,,,,,,,-33.425,-69.797,3,1901-04-01,0
265090,Banda Api,16418,Confirmed Eruption,Summit and north flank,2,,,1901,,5,,18,,Historical Observations,,,,,,,,-4.523,129.881,6,1901-05-18,0
263280,Kelut,15952,Confirmed Eruption,,3,,,1901,,5,,22,,Historical Observations,,1901,,5,,23,,-7.93,112.308,10,1901-05-22,0
355070,San Pedro,11834,Confirmed Eruption,,2,,,1901,,5,,25,,Historical Observations,,1901,,8,,0,,-21.88,-68.4,3,1901-05-25,0
264030,Rinjani,16214,Confirmed Eruption,Gunung Barujari,2,,,1901,,6,,1,,Historical Observations,,1901,,6,,2,,-8.42,116.47,6,1901-06-01,0
233020,Fournaise  Piton de la,14308,Confirmed Eruption,NE flank (above Piton de Crac),2,,,1901,,7,,4,,Historical Observations,,1901,,7,,6,,-21.244,55.708,2,1901-07-04,0
300100,Avachinsky,19096,Confirmed Eruption,,2,,,1901,,7,,7,,Historical Observations,,1901,,7,,13,,53.256,158.836,7,1901-07-07,0
313030,Redoubt,20384,Confirmed Eruption,,3,,,1902,,1,,18,,Historical Observations,,,,,,,,60.485,-152.742,5,1902-01-18,0
272020,Kanlaon,16727,Confirmed Eruption,,2,,,1902,,1,,31,,Historical Observations,,,,,,,,10.412,123.132,6,1902-01-31,0
263250,Merapi,15890,Confirmed Eruption,,1,,,1902,,2,,3,,Historical Observations,,1902,,2,,3,,-7.542,110.442,10,1902-02-03,0
283110,Asamayama,17763,Confirmed Eruption,,2,,,1902,,2,,7,,Historical Observations,,1902,,2,,7,,36.406,138.523,7,1902-02-07,0
332010,Kilauea,10071,Confirmed Eruption,Halemaumau,0,,,1902,,2,<,14,,Historical Observations,,1902,,2,,0,,19.421,-155.287,5,1902-02-14,0
263340,Raung,16120,Confirmed Eruption,,2,,,1902,,2,,16,,Historical Observations,,1902,,2,>,27,,-8.119,114.056,6,1902-02-16,0
344090,Momotombo,11001,Confirmed Eruption,,2,?,,1902,,3,,31,30,Historical Observations,,,,,,,,12.422,-86.54,14,1902-03-31,0
223020,Nyamuragira,14045,Confirmed Eruption,SSE fissure zone,0,,,1902,,4,?,22,,Historical Observations,,,,,,,,-1.408,29.2,9,1902-04-22,0
360120,Pelee,12430,Confirmed Eruption,Rivière Blanche and summit crater,4,,,1902,,4,,23,,Historical Observations,,1905,,10,,5,,14.809,-61.165,14,1902-04-23,0
263210,Sundoro,15801,Confirmed Eruption,,1,,,1902,,5,,1,,Historical Observations,,1902,,5,,25,,-7.3,109.992,10,1902-05-01,0
360150,Soufrière St. Vincent,12453,Confirmed Eruption,,4,?,,1902,,5,,6,,Historical Observations,,1903,,3,,30,,13.33,-61.18,14,1902-05-06,0
382030,San Jorge,12995,Confirmed Eruption,Subm. vent ca. 20 km SW of Terceira,0,,,1902,,5,,7,,Historical Observations,,1902,,5,,8,,38.65,-28.08,9,1902-05-07,0
343030,Izalco,10808,Confirmed Eruption,Summit and NE flank,2,,,1902,,5,,10,,Historical Observations,,1902,,12,,30,,13.813,-89.633,14,1902-05-10,0
332010,Kilauea,10072,Confirmed Eruption,Halemaumau,0,,,1902,,6,,3,,Historical Observations,,1903,,3,,5,5,19.421,-155.287,5,1902-06-03,0
344100,Masaya,11020,Confirmed Eruption,Santiago,2,,,1902,,7,,15,,Historical Observations,,1903,,11,,0,,11.984,-86.161,14,1902-07-15,0
283120,Kusatsu-Shiranesan,17827,Confirmed Eruption,North side of Yumi-ike,1,,,1902,,7,,15,,Historical Observations,,1902,,9,,24,,36.618,138.528,7,1902-07-15,0
315020,Wrangell,20413,Confirmed Eruption,West Crater,2,,,1902,,7,,15,45,Historical Observations,,,,,,,,62.006,-144.017,5,1902-07-15,0
283110,Asamayama,17764,Confirmed Eruption,,2,,,1902,,8,,5,,Historical Observations,,1902,,8,?,20,,36.406,138.523,7,1902-08-05,0
284090,Izu-Torishima,18368,Confirmed Eruption,Komochi-yama  N & SW offshore flanks,3,,,1902,,8,,7,,Historical Observations,,1902,,8,,24,,30.484,140.303,7,1902-08-07,0
233020,Fournaise  Piton de la,14309,Confirmed Eruption,,2,,,1902,,8,,13,,Historical Observations,,1902,,8,,18,,-21.244,55.708,2,1902-08-13,0
342030,Santa Maria,10624,Confirmed Eruption,SW flank,6,?,,1902,,10,,24,,Historical Observations,,1902,,11,,12,,14.756,-91.552,14,1902-10-24,0
244040,Savai'i,14815,Confirmed Eruption,Mata Ole Afi (1649 m),1,,,1902,,10,,30,,Historical Observations,,1902,,11,,17,4,-13.612,-172.525,11,1902-10-30,0
263250,Merapi,15891,Confirmed Eruption,,2,,,1902,,12,,1,,Historical Observations,,1904,,6,,20,5,-7.542,110.442,10,1902-12-01,0
373010,Grimsvotn,12823,Confirmed Eruption,GrÕmsv_tn and Thordarhyrna,4,,,1902,,12,,1,,Historical Observations,,1904,,1,,12,,64.416,-17.316,9,1902-12-01,0
373030,Bardarbunga,12885,Confirmed Eruption,Volcano Uncertain: Dyngjuhals ?,2,?,,1902,,12,,1,,,,1903,,6,,0,,64.633,-17.516,9,1902-12-01,0
390020,Erebus,13154,Confirmed Eruption,,0,,,1903,,1,,1,730,Historical Observations,,,,,,,,-77.53,167.17,2,1903-01-01,0
341040,Colima,10456,Confirmed Eruption,,3,,,1903,,2,,15,,Historical Observations,,1903,,10,,30,,19.514,-103.62,0,1903-02-15,0
282020,Io-Torishima,16917,Confirmed Eruption,,2,,,1903,,3,,15,5,Historical Observations,,1903,,8,,26,5,27.881,128.223,8,1903-03-15,0
263300,Semeru,13573,Confirmed Eruption,,2,,,1903,,3,,26,,Historical Observations,,1903,,6,,0,,-8.108,112.92,10,1903-03-26,0
273070,Taal,16850,Confirmed Eruption,,2,,,1903,,4,,1,,Historical Observations,,,,,,,,14.002,120.993,8,1903-04-01,0
305060,Changbaishan,19650,Confirmed Eruption,Liuhaojie tuff ring?,,,,1903,,4,,15,45,Historical Observations,,,,,,,,41.98,128.08,7,1903-04-15,0
357110,Llaima,12042,Confirmed Eruption,,2,,,1903,,5,,12,,Historical Observations,,1903,,5,,14,,-38.692,-71.729,3,1903-05-12,0
282090,Kirishimayama,17153,Confirmed Eruption,Ohachi,2,,,1903,,8,,29,,Historical Observations,,1903,,11,,25,,31.934,130.862,8,1903-08-29,0
332020,Mauna Loa,10213,Confirmed Eruption,Mokuaweoweo,0,,,1903,,9,,1,,Historical Observations,,1903,,12,?,7,,19.475,-155.608,5,1903-09-01,0
352050,Cotopaxi,11586,Confirmed Eruption,,3,,,1903,,9,,26,,Historical Observations,,1904,,12,,0,,-0.677,-78.436,14,1903-09-26,0
263210,Sundoro,15802,Confirmed Eruption,Upper NE and SW flanks (2850-2980 m),2,,,1903,,10,,17,,Historical Observations,,1903,,10,?,21,,-7.3,109.992,10,1903-10-17,0
343030,Izalco,10809,Confirmed Eruption,Summit and east flank,2,,,1903,,11,,1,,Historical Observations,,1905,,3,,0,,13.813,-89.633,14,1903-11-01,0
332010,Kilauea,10073,Confirmed Eruption,Halemaumau,0,,,1903,,11,,25,,Historical Observations,,1904,,1,,10,,19.421,-155.287,5,1903-11-25,0
263340,Raung,16121,Confirmed Eruption,,2,,,1903,,11,,28,,Historical Observations,,1904,,1,,0,,-8.119,114.056,6,1903-11-28,0
265060,Nila,16379,Confirmed Eruption,,2,,,1903,,12,,8,,Historical Observations,,,,,,,,-6.73,129.5,6,1903-12-08,0
