year,count
2008,26154
2006,25026
2005,24878
2007,24385
2004,20639
2014,19828
2011,18593
2015,18418
2003,17623
2010,16838
2002,16759
1996,15781
2001,15710
2012,15015
1995,14842
1998,14695
2000,14552
1999,14285
1997,14064
1992,12692
2013,12401
2009,11702
1994,11690
1993,11449
1991,9440
1990,9357
1989,8723
1985,8540
1986,8539
2016,8238
1987,8175
1988,8083
1983,7928
1984,7624
1980,7593
1979,6916
1982,6784
1975,6548
1972,6495
1981,6375
1971,6271
1965,6218
1976,6201
1978,5853
1973,5667
1974,5647
1977,5625
1968,5488
1966,5090
1969,5044
1967,4862
1970,4773
1964,4611
1963,3893
1954,561
1952,529
1961,528
1960,514
1962,453
1953,431
1959,422
1949,376
1955,369
1950,359
1933,344
1957,327
1947,300
1956,291
1958,280
1946,271
1942,248
1948,236
1940,233
1951,230
1935,215
1944,185
1943,182
1941,181
1936,170
1934,169
1937,166
1938,162
1939,159
1932,134
1945,122
1929,10
1931,9
1912,9
1928,6
1905,4
1926,4
1910,4
1911,4
1909,3
1903,3
1901,3
1930,3
1922,3
1923,3
1916,2
1927,2
1913,2
1915,2
1907,2
1906,2
1902,1
1900,1
1904,1
1919,1
1908,1
1925,1
1918,1
1921,1
1920,1
1917,1
1914,1
1924,1
