,”long","lat","clust"
"600000",91.2869,27.2728,14
"600001",148.5808,44.1184,8
"600002",-153.7952,58.0912,6
"600003",157.5831,52.1224,8
"600004",126.029,0.6469,7
"600005",-23.1378,63.8622,10
"600006",-23.2416,63.7217,10
"600007",-73.0132,6.8576,15
"600008",57.4498,28.1277,14
"600009",169.2335,-12.9947,12
"600010",179.5425,-34.0418,5
"600011",-150.9124,63.0987,6
"600012",-177.584,-19.7101,5
"600013",-177.6911,-31.9794,5
"600014",-153.2385,60.2316,6
"600015",-87.6921,12.5856,15
"600016",133.9869,-4.7372,7
"600017",143.1499,21.588,2
"600018",159.6191,-52.2048,5
"600019",-64.3767,19.5575,15
"600020",89.3335,2.7959,11
"600021",-163.4681,53.5794,13
"600022",-11.5843,-26.1942,4
"600023",-177.9226,-31.9635,5
"600024",-34.4,35.6762,15
"600025",123.8459,4.7383,7
"600026",3.5796,79.9038,6
"600027",-97.1003,36.0912,1
"600028",145.7223,43.6321,8
"600029",-35.2706,-60.322,4
"600030",-66.253,44.085,1
"600031",-178.8106,-27.8891,5
"600032",162.5558,-10.9911,12
"600033",179.8482,-31.3127,5
"600034",162.6748,-11.2262,12
"600035",63.7144,3.7091,14
"600036",-97.437,36.0707,1
"600037",126.117,1.0362,7
"600038",121.4988,20.0937,9
"600039",-153.5796,56.2162,6
"600040",-67.8812,19.6002,15
"600041",-178.6641,-17.6396,5
"600042",85.5714,27.9835,14
"600043",133.5219,-4.5917,7
"600044",-147.4149,60.9563,6
"600045",110.3451,-5.6808,11
"600046",73.5128,38.4354,14
"600047",-68.9814,18.4943,15
"600048",-66.3652,19.025,15
"600049",-69.047,-22.69,4
"600050",-26.3001,-58.5065,4
"600051",141.8784,38.4988,8
"600052",26.4809,-1.6227,10
"600053",173.0875,53.0919,13
"600054",120.2195,-7.4514,7
"600055",73.7102,34.4513,14
"600056",-16.1836,-34.7042,4
"600057",151.9394,-6.1179,12
"600058",130.7254,-7.5864,7
"600059",-177.6553,-29.6815,5
"600060",142.4404,11.8696,2
"600061",143.3401,29.9876,8
"600062",-163.638,53.43,13
"600063",-177.7587,-31.143,5
"600064",-178.4033,-32.4712,5
"600065",147.3155,-5.9195,12
"600066",-156.174,55.984,6
"600067",143.1755,30.0303,8
"600068",-177.8312,-32.2046,5
"600069",-178.4763,-17.6535,5
"600070",176.516,-40.4643,5
"600071",156.1096,-6.9986,12
"600072",-175.811,51.5782,13
"600073",-176.191,-32.3054,5
"600074",-74.0988,-37.3768,4
"600075",-178.0273,-31.9551,5
"600076",-115.5813,32.981,1
"600077",-178.2028,-31.9846,5
"600078",166.1429,-46.3735,5
"600079",-97.3336,36.4207,1
"600080",126.7828,-3.5456,7
"600081",-172.8792,-19.5322,5
"600082",-14.0769,-22.998,4
"600083",-97.7204,36.8242,1
"600084",-155.2064,57.2006,6
"600085",86.8343,-41.3483,3
"600086",-173.4039,-15.0594,5
"600087",93.2895,13.1543,11
"600088",-162.851,54.075,13
"600089",78.1542,37.4593,14
"600090",78.1194,37.3086,14
"600091",168.2795,-15.4598,12
"600092",77.9969,37.5644,14
"600093",78.1287,37.6516,14
"600094",77.934,37.3901,14
"600095",78.0286,37.4606,14
"600096",-27.6,0.5817,15
"600097",78.2775,37.214,14
"600098",94.9322,11.4867,11
"600099",78.3278,37.4582,14
"600100",78.0162,37.5548,14
"600101",78.3213,37.216,14
"600102",78.1928,37.3915,14
"600103",95.032,11.4234,11
"600104",139.7111,-3.3674,7
"600105",141.5163,42.0481,8
"600106",79.1432,36.8172,14
"600107",179.4263,-23.1026,5
"600108",-171.5113,52.9599,13
"600109",176.8304,52.3982,13
"600110",78.4349,36.9946,14
"600111",-97.5192,36.2812,1
"600112",86.8605,-41.4219,3
"600113",152.9809,-4.7437,12
"600114",125.8911,10.1696,7
"600115",147.9577,45.3488,8
"600116",-129.726,49.07,6
"600117",127.269,1.2307,7
"600118",151.6839,-4.0425,12
"600119",-173.9109,-20.4343,5
"600120",-73.9623,-37.3374,4
"600121",121.25,-48.9228,3
"600122",-65.2348,18.6787,15
"600123",-97.565,36.757,1
"600124",150.7119,-6.8972,12
"600125",-176.3513,-29.9969,5
"600126",54.86,26.73,14
"600127",147.7377,-3.0614,12
"600128",-177.8176,-31.4971,5
"600129",71.2206,36.5835,14
"600130",-7.6933,-50.104,4
"600131",152.164,-10.4712,12
"600132",-178.0199,-32.3261,5
"600133",152.0078,-10.3022,12
"600134",94.6054,23.7062,9
"600135",119.7244,-8.2387,7
"600136",46.2838,58.0225,14
"600137",43.6554,-41.0554,3
"600138",151.8992,-10.32,12
"600139",119.4418,-11.1162,7
"600140",-64.2093,19.3935,15
"600141",-64.3322,19.2315,15
"600142",84.9064,27.7236,14
"600143",128.5615,2.7485,7
"600144",124.4908,1.3147,7
"600145",-136.4749,59.3409,6
"600146",70.8816,36.4531,14
"600147",121.1155,-48.8665,3
"600148",-73.1645,-16.5698,4
"600149",145.7627,16.8596,2
"600150",-176.3328,-27.3639,5
"600151",-99.45,16.783,1
"600152",174.4992,-63.3465,5
"600153",143.6726,23.087,2
"600154",-176.622,51.411,13
"600155",78.0066,37.6589,14
"600156",166.9693,-16.0217,12
"600157",56.2778,14.4013,14
"600158",-177.8203,-20.9811,5
"600159",-96.861,36.293,1
"600160",-170.8461,52.6138,13
"600161",153.6976,-4.5671,12
"600162",143.2469,29.9815,8
"600163",56.2512,14.5325,14
"600164",78.3817,37.2272,14
"600165",-68.3263,17.8525,15
"600166",161.2978,-10.2247,12
"600167",-177.8317,-31.9201,5
"600168",-86.6268,11.9314,15
"600169",142.0482,38.7407,8
"600170",107.2792,-8.1573,11
"600171",-68.801,-21.283,4
"600172",-164.3692,53.256,13
"600173",15.7057,77.0073,10
"600174",121.3885,-48.8601,3
"600175",120.2895,20.2596,9
"600176",120.2809,20.1583,9
"600177",149.0991,-6.1388,12
"600178",172.2894,53.0423,13
"600179",142.5144,25.4944,2
"600180",-160.9698,55.1331,6
"600181",-79.5899,-3.0833,15
"600182",-97.516,36.281,1
"600183",-97.5569,36.7615,1
"600184",-177.9581,-32.4746,5
"600185",167.0271,-12.591,12
"600186",-91.3314,14.1327,15
"600187",-179.2909,-33.0042,5
"600188",142.7858,30.4625,8
"600189",-122.837,44.0817,1
"600190",-112.4657,37.8473,1
"600191",-179.5395,-35.3134,5
"600192",167.359,-14.1797,12
"600193",153.4388,-5.8333,12
"600194",120.2448,20.2572,9
"600195",126.5183,5.4961,7
"600196",-178.0356,-32.0882,5
"600197",-178.0285,-32.0184,5
"600198",-177.0832,-30.2905,5
"600199",143.73,30.3306,8
"600200",147.1611,16.8618,2
"600201",77.0948,38.1721,14
"600202",93.2393,12.9416,11
"600203",-82.5212,6.4125,15
"600204",153.071,46.7989,8
"600205",68.4515,-2.788,3
