Latitude,Longitude,VEI,cluster,depth,mag,startdate,type,dep,phase,scale,sequence,Anomaly,pavg,temp
57.09,-153.48,,05,0.0,8.3,1900-10-10,1,0,2,2,10520,0.281,0.182857142857,5
60.0,-135.0,,05,0.0,7.1,1901-01-18,1,0,3,2,10520,-0.871,-0.782,4
52.0,-160.0,,05,0.0,6.6,1901-12-30,1,0,2,2,10520,-0.216,-0.211714285714,4
51.45,-171.02,,05,0.0,7.8,1901-12-31,1,0,2,2,10520,-0.22,-0.211714285714,4
52.38,-167.45,,05,0.0,7.8,1902-01-01,1,0,2,2,10520,-0.266,-0.211714285714,4
50.85,-175.16,,05,0.0,7.0,1903-01-17,1,0,2,2,10520,0.291,0.0602857142857,5
52.0,175.0,,05,0.0,6.8,1903-02-05,1,0,1,2,10520,0.027,0.411625,5
61.56,-158.54,,05,0.0,8.3,1903-06-02,1,0,0,2,10520,-0.443,-0.524714285714,4
64.62,-148.23,,05,0.0,7.8,1904-08-27,1,0,2,2,10520,-0.496,-0.586142857143,4
50.73,-178.55,,05,0.0,7.7,1905-02-14,1,0,1,2,10520,-1.446,-1.320125,4
51.28,174.83,,05,0.0,7.2,1905-03-22,1,0,2,2,10520,-0.443,-0.471428571429,4
52.06,171.45,,07,0.0,7.4,1905-09-15,1,0,2,2,10720,-0.5,-0.343714285714,4
53.88,-161.68,,05,0.0,7.0,1905-12-10,1,0,1,2,10520,-0.626,-0.468125,4
50.77,179.73,,05,0.0,8.0,1906-08-17,1,0,3,2,10520,0.081,-0.106857142857,4
53.0,-165.0,,05,0.0,7.6,1906-12-23,1,0,1,2,10520,-0.341,0.205625,5
57.0,-161.0,,05,120.0,6.5,1907-08-22,1,1,1,2,10521,-0.712,-0.55375,4
52.44,170.28,,07,0.0,7.7,1907-09-02,1,0,3,2,10720,-0.539,-0.563333333333,4
59.0,-141.0,,05,25.0,7.1,1908-05-15,1,0,1,2,10520,-0.145,-0.23075,4
52.0,175.0,,05,0.0,7.0,1909-04-10,1,0,2,2,10520,-0.934,-0.772285714286,4
52.5,-169.0,,05,90.0,7.4,1909-09-08,1,1,3,2,10521,-0.033,-0.0488571428571,4
60.0,-149.5,,05,0.0,7.4,1909-09-19,1,0,0,2,10520,-0.293,-0.243,4
57.0,-160.0,,05,100.0,6.7,1910-05-13,1,1,0,2,10521,-0.382,-0.301428571429,4
42.0,-127.0,,00,,6.8,1910-08-05,1,,3,2,1002,-0.456,-0.124142857143,4
50.75,179.38,,05,25.0,7.3,1910-09-09,1,0,0,2,10520,-0.456,-0.458571428571,4
53.0,-135.0,,05,0.0,6.8,1910-11-06,1,0,0,2,10520,-0.795,-0.703,4
37.25,-121.75,,00,,6.6,1911-07-01,1,,0,2,1002,-0.319,-0.298428571429,4
51.0,180.0,,05,0.0,7.1,1911-09-17,1,0,3,2,10520,-0.506,-0.4835,4
60.5,-149.0,,05,60.0,6.9,1911-09-22,1,0,3,2,10520,-0.489,-0.4835,4
52.0,173.0,,07,0.0,7.0,1911-11-13,1,0,3,2,10720,-0.921,-0.439142857143,4
52.0,-179.0,,05,25.0,7.1,1912-01-04,1,0,1,2,10520,-0.46,-0.602625,4
61.0,-147.5,,05,80.0,7.2,1912-01-31,1,1,1,2,10521,0.607,0.33675,5
51.0,-131.0,,05,0.0,6.5,1912-03-11,1,0,3,2,10520,-0.803,-0.686,4
59.0,-153.0,,05,25.0,6.4,1912-06-07,1,0,3,2,10520,0.05,0.0214285714286,5
59.0,-153.0,,05,25.0,7.0,1912-06-10,1,0,3,2,10520,-0.077,-0.0238571428571,4
63.07,-146.14,,05,25.0,7.4,1912-07-07,1,0,3,2,10520,-0.334,-0.445285714286,4
54.6,179.2,,05,0.0,7.1,1912-10-18,1,0,1,2,10520,-0.818,-1.203375,4
57.5,-155.0,,05,90.0,7.5,1912-11-07,1,1,3,2,10521,-1.085,-1.17614285714,4
57.5,-154.0,,05,90.0,7.0,1912-12-05,1,1,3,2,10521,-0.829,-0.8735,4
51.0,-179.0,,05,60.0,7.3,1913-03-31,1,0,3,2,10520,-0.294,-0.585666666667,4
48.0,-178.0,,05,0.0,7.2,1913-06-22,1,0,2,2,10520,-0.475,-0.371714285714,4
49.0,-130.0,,05,0.0,6.5,1914-07-21,1,0,3,2,10520,-0.268,-0.324714285714,4
39.5,-126.5,,00,,6.8,1915-05-06,1,,3,2,1002,0.288,0.451857142857,5
41.0,-126.0,,00,,6.5,1915-12-31,1,,3,2,1002,-0.633,-0.723714285714,4
48.5,178.5,,05,0.0,7.7,1916-02-06,1,0,0,2,10520,-0.24,-0.310571428571,4
53.25,-170.0,,05,170.0,7.5,1916-04-18,1,1,2,2,10521,-0.446,-0.292857142857,4
54.79,-159.12,,05,0.0,7.9,1917-05-31,1,0,1,2,10520,-0.901,-0.80125,4
41.0,-125.0,,00,,6.5,1918-07-15,1,,0,2,1002,-0.48,-0.520142857143,4
56.0,-136.0,,05,0.0,6.0,1919-05-18,1,0,2,2,10520,-0.568,-0.383142857143,4
54.0,-134.0,,05,0.0,6.5,1921-04-10,1,0,0,2,10520,-0.013,0.0221428571429,5
41.0,-126.0,,00,,6.0,1922-01-26,1,,3,2,1002,-1.048,-1.21866666667,4
41.0,-125.5,,00,,7.3,1922-01-31,1,,0,2,1002,-0.532,-0.473285714286,4
35.75,-120.25,,00,,6.5,1922-03-10,1,,1,2,1002,0.146,0.105125,5
40.5,-124.5,,00,,7.2,1923-01-22,1,,0,2,1002,-0.553,-0.579285714286,4
55.5,-156.5,,05,25.0,7.1,1923-05-04,1,0,2,2,10520,0.06,-0.168857142857,4
50.0,-130.24,,05,0.0,6.0,1924-03-30,1,0,3,2,10520,-0.666,-0.516571428571,4
41.5,-125.0,,00,,6.0,1925-06-04,1,,1,2,1002,-0.411,-0.453625,4
52.0,-176.0,,05,25.0,7.1,1926-10-13,1,0,0,2,10520,-0.013,-0.0152857142857,4
36.61,-122.35,,00,,6.1,1926-10-22,1,,2,2,1002,0.544,0.458571428571,5
36.57,-122.18,,00,,6.1,1926-10-22,1,,2,2,1002,0.544,0.458571428571,5
40.75,-126.0,,00,,6.0,1926-12-10,1,,0,2,1002,0.204,-0.305714285714,4
