cluster,startdate,type,sequence,phase,month
6,2001-01-01,E,E6,6,1
6,2001-01-01,E,E6,6,1
11,2001-01-02,E,E11,7,1
6,2001-01-02,E,E6,7,1
8,2001-01-08,V,V8,13,1
11,2001-01-09,E,E11,14,1
5,2001-01-10,E,E5,15,1
5,2001-01-11,E,E5,16,1
6,2001-01-11,V,V6,16,1
7,2001-01-11,V,V7,16,1
14,2001-01-13,E,E14,18,1
2,2001-01-15,E,E2,20,1
10,2001-01-16,E,E10,21,1
10,2001-01-16,E,E10,21,1
11,2001-01-16,V,V11,21,1
14,2001-01-17,V,V14,22,1
0,2001-01-19,E,E0,24,1
11,2001-01-19,E,E11,24,1
3,2001-01-19,E,E3,24,1
13,2001-01-26,E,E13,1,1
6,2001-01-29,E,E6,4,1
5,2001-02-01,E,E5,7,2
5,2001-02-02,V,V5,8,2
9,2001-02-06,V,V9,12,2
10,2001-02-13,E,E10,19,2
14,2001-02-13,E,E14,19,2
11,2001-02-14,E,E11,20,2
11,2001-02-14,E,E11,20,2
6,2001-02-16,E,E6,22,2
5,2001-02-17,E,E5,23,2
2,2001-02-18,E,E2,24,2
11,2001-02-19,V,V11,25,2
6,2001-02-24,E,E6,0,2
6,2001-02-24,E,E6,0,2
13,2001-02-25,E,E13,1,2
7,2001-02-26,E,E7,2,2
11,2001-02-28,E,E11,4,2
11,2001-02-28,E,E11,4,2
12,2001-02-28,E,E12,4,2
14,2001-02-28,E,E14,4,2
11,2001-03-06,E,E11,10,3
9,2001-03-07,E,E9,11,3
6,2001-03-14,E,E6,18,3
10,2001-03-15,E,E10,19,3
3,2001-03-15,E,E3,19,3
6,2001-03-19,E,E6,23,3
7,2001-03-23,E,E7,27,3
7,2001-03-24,E,E7,28,3
2,2001-03-27,V,V2,1,3
6,2001-04-04,E,E6,9,4
11,2001-04-07,E,E11,12,4
3,2001-04-09,E,E3,14,4
3,2001-04-13,E,E3,18,4
10,2001-04-13,V,V10,18,4
7,2001-04-14,E,E7,19,4
11,2001-04-19,E,E11,24,4
11,2001-04-19,E,E11,24,4
11,2001-04-19,E,E11,24,4
14,2001-04-23,V,V14,28,4
1,2001-04-24,V,V1,0,4
7,2001-04-26,E,E7,2,4
11,2001-04-28,E,E11,4,4
0,2001-04-29,E,E0,5,4
2,2001-05-03,V,V2,9,5
4,2001-05-07,E,E4,13,5
11,2001-05-09,E,E11,15,5
14,2001-05-11,V,V14,17,5
10,2001-05-12,V,V10,18,5
11,2001-05-19,E,E11,25,5
0,2001-05-20,E,E0,26,5
10,2001-05-25,E,E10,1,5
7,2001-05-25,E,E7,1,5
11,2001-05-26,E,E11,2,5
6,2001-05-28,E,E6,4,5
6,2001-05-28,V,V6,4,5
11,2001-05-29,E,E11,5,5
11,2001-06-03,E,E11,10,6
11,2001-06-05,E,E11,12,6
11,2001-06-05,E,E11,12,6
11,2001-06-08,V,V11,15,6
2,2001-06-11,V,V2,18,6
5,2001-06-14,E,E5,21,6
11,2001-06-14,V,V11,21,6
1,2001-06-15,E,E1,22,6
13,2001-06-15,E,E13,22,6
11,2001-06-16,E,E11,23,6
3,2001-06-19,E,E3,26,6
3,2001-06-23,E,E3,1,6
3,2001-06-23,E,E3,1,6
7,2001-06-24,E,E7,2,6
3,2001-06-26,E,E3,4,6
4,2001-06-26,E,E4,4,6
3,2001-06-29,E,E3,7,6
11,2001-07-01,E,E11,9,7
1,2001-07-03,E,E1,11,7
11,2001-07-04,E,E11,12,7
3,2001-07-04,E,E3,12,7
3,2001-07-05,E,E3,13,7
3,2001-07-07,E,E3,15,7
11,2001-07-08,E,E11,16,7
9,2001-07-17,V,V9,25,7
10,2001-07-21,V,V10,0,7
6,2001-07-22,E,E6,1,7
7,2001-07-23,V,V7,2,7
3,2001-07-24,E,E3,3,7
9,2001-07-26,E,E9,5,7
5,2001-07-28,E,E5,7,7
7,2001-08-02,E,E7,12,8
4,2001-08-06,E,E4,16,8
7,2001-08-13,E,E7,23,8
11,2001-08-21,E,E11,1,8
11,2001-08-23,E,E11,3,8
14,2001-08-25,E,E14,5,8
6,2001-08-27,E,E6,7,8
11,2001-08-28,V,V11,8,8
3,2001-09-01,V,V3,12,9
10,2001-09-02,E,E10,13,9
4,2001-09-02,E,E4,13,9
6,2001-09-11,E,E6,22,9
11,2001-09-12,E,E11,23,9
5,2001-09-14,E,E5,25,9
11,2001-09-15,E,E11,26,9
6,2001-09-18,E,E6,0,9
1,2001-09-21,V,V1,3,9
10,2001-09-25,V,V10,7,9
11,2001-09-27,V,V11,9,9
11,2001-09-29,E,E11,11,9
11,2001-09-30,E,E11,12,9
3,2001-10-01,V,V3,13,10
11,2001-10-02,E,E11,14,10
7,2001-10-05,V,V7,17,10
6,2001-10-07,E,E6,19,10
7,2001-10-08,E,E7,20,10
7,2001-10-08,E,E7,20,10
1,2001-10-12,E,E1,24,10
5,2001-10-12,E,E5,24,10
6,2001-10-13,E,E6,25,10
14,2001-10-17,E,E14,0,10
6,2001-10-19,E,E6,2,10
11,2001-10-21,E,E11,4,10
11,2001-10-26,E,E11,9,10
11,2001-10-31,E,E11,14,10
14,2001-10-31,V,V14,14,10
11,2001-11-05,E,E11,19,11
14,2001-11-09,E,E14,23,11
0,2001-11-13,E,E0,27,11
7,2001-11-13,E,E7,27,11
7,2001-11-13,E,E7,27,11
13,2001-11-14,E,E13,28,11
9,2001-11-15,E,E9,29,11
7,2001-11-15,V,V7,29,11
6,2001-11-20,E,E6,4,11
11,2001-11-22,E,E11,6,11
11,2001-11-22,E,E11,6,11
13,2001-11-23,E,E13,7,11
3,2001-11-24,V,V3,8,11
14,2001-11-26,V,V14,10,11
11,2001-11-27,E,E11,11,11
0,2001-11-28,E,E0,12,11
9,2001-12-01,V,V9,15,12
11,2001-12-02,E,E11,16,12
7,2001-12-02,E,E7,16,12
11,2001-12-03,E,E11,17,12
14,2001-12-04,V,V14,18,12
8,2001-12-08,E,E8,22,12
6,2001-12-09,E,E6,23,12
7,2001-12-10,V,V7,24,12
11,2001-12-12,E,E11,26,12
6,2001-12-12,E,E6,26,12
8,2001-12-18,E,E8,3,12
11,2001-12-22,E,E11,7,12
11,2001-12-23,E,E11,8,12
11,2001-12-27,E,E11,12,12
14,2001-12-28,E,E14,13,12
4,2002-01-01,E,E4,17,1
6,2002-01-01,E,E6,17,1
11,2002-01-02,E,E11,18,1
11,2002-01-02,E,E11,18,1
11,2002-01-03,E,E11,19,1
13,2002-01-03,E,E13,19,1
14,2002-01-04,V,V14,20,1
2,2002-01-05,V,V2,21,1
6,2002-01-10,E,E6,26,1
11,2002-01-13,E,E11,29,1
11,2002-01-13,V,V11,29,1
10,2002-01-15,E,E10,1,1
11,2002-01-15,E,E11,1,1
11,2002-01-15,E,E11,1,1
0,2002-01-16,E,E0,2,1
14,2002-01-16,V,V14,2,1
9,2002-01-17,V,V9,3,1
9,2002-01-22,E,E9,8,1
7,2002-01-25,V,V7,11,1
11,2002-01-28,E,E11,14,1
7,2002-01-28,E,E7,14,1
11,2002-01-30,E,E11,16,1
9,2002-02-03,E,E9,20,2
9,2002-02-03,E,E9,20,2
11,2002-02-05,E,E11,22,2
6,2002-02-09,V,V6,26,2
4,2002-02-15,E,E4,2,2
11,2002-02-19,E,E11,6,2
11,2002-02-28,E,E11,15,2
11,2002-03-01,V,V11,16,3
13,2002-03-03,E,E13,18,3
13,2002-03-03,E,E13,18,3
6,2002-03-05,E,E6,20,3
6,2002-03-08,E,E6,23,3
3,2002-03-09,E,E3,24,3
2,2002-03-17,E,E2,2,3
6,2002-03-19,E,E6,4,3
13,2002-03-25,E,E13,10,3
8,2002-03-26,E,E8,11,3
3,2002-03-28,E,E3,13,3
8,2002-03-31,E,E8,16,3
11,2002-04-01,V,V11,17,4
14,2002-04-01,V,V14,17,4
11,2002-04-07,E,E11,23,4
11,2002-04-08,E,E11,24,4
7,2002-04-09,V,V7,25,4
11,2002-04-11,E,E11,27,4
0,2002-04-18,E,E0,5,4
3,2002-04-18,E,E3,5,4
11,2002-04-20,E,E11,7,4
4,2002-04-24,E,E4,11,4
1,2002-04-26,E,E1,13,4
11,2002-05-08,E,E11,25,5
8,2002-05-11,V,V8,28,5
2,2002-05-14,E,E2,1,5
8,2002-05-15,E,E8,2,5
9,2002-05-17,V,V9,4,5
3,2002-05-23,E,E3,10,5
11,2002-05-24,V,V11,11,5
