cluster,depth,startdate,type,sequence,seqdep,phase
6,33.0,2001-01-01,E,E6,E6,0
6,33.0,2001-01-01,E,E6,E6,0
11,33.0,2001-01-02,E,E11,E11,0
6,33.0,2001-01-02,E,E6,E6,0
8,,2001-01-08,V,V8,V8,1
11,103.0,2001-01-09,E,E11,E11D,1
5,36.38,2001-01-10,E,E5,E5,1
5,10.0,2001-01-11,E,E5,E5,2
6,,2001-01-11,V,V6,V6,2
7,,2001-01-11,V,V7,V7,2
14,60.0,2001-01-13,E,E14,E14,2
2,10.0,2001-01-15,E,E2,E2,2
10,33.0,2001-01-16,E,E10,E10,2
10,28.0,2001-01-16,E,E10,E10,2
11,,2001-01-16,V,V11,V11,2
14,,2001-01-17,V,V14,V14,2
0,93.2,2001-01-19,E,E0,E0D,3
11,50.0,2001-01-19,E,E11,E11,3
3,33.0,2001-01-19,E,E3,E3,3
13,16.0,2001-01-26,E,E13,E13,0
6,33.0,2001-01-29,E,E6,E6,0
5,33.0,2001-02-01,E,E5,E5,0
5,,2001-02-02,V,V5,V5,1
9,,2001-02-06,V,V9,V9,1
10,36.0,2001-02-13,E,E10,E10,2
14,10.0,2001-02-13,E,E14,E14,2
11,10.0,2001-02-14,E,E11,E11,2
11,10.0,2001-02-14,E,E11,E11,2
6,521.0,2001-02-16,E,E6,E6DD,2
5,20.0,2001-02-17,E,E5,E5,2
2,10.0,2001-02-18,E,E2,E2,3
11,,2001-02-19,V,V11,V11,3
6,35.0,2001-02-24,E,E6,E6,0
6,33.0,2001-02-24,E,E6,E6,0
13,202.5,2001-02-25,E,E13,E13D,0
7,392.0,2001-02-26,E,E7,E7DD,0
11,10.0,2001-02-28,E,E11,E11,0
11,10.0,2001-02-28,E,E11,E11,0
12,51.9,2001-02-28,E,E12,E12,0
14,65.3,2001-02-28,E,E14,E14,0
11,10.0,2001-03-06,E,E11,E11,1
9,10.0,2001-03-07,E,E9,E9,1
6,109.4,2001-03-14,E,E6,E6D,2
10,33.0,2001-03-15,E,E10,E10,2
3,37.0,2001-03-15,E,E3,E3,2
6,33.0,2001-03-19,E,E6,E6,2
7,33.0,2001-03-23,E,E7,E7,3
7,50.0,2001-03-24,E,E7,E7,3
2,,2001-03-27,V,V2,V2,0
6,33.0,2001-04-04,E,E6,E6,1
11,33.0,2001-04-07,E,E11,E11,1
3,11.0,2001-04-09,E,E3,E3,1
3,26.0,2001-04-13,E,E3,E3,2
10,,2001-04-13,V,V10,V10,2
7,10.0,2001-04-14,E,E7,E7,2
11,20.0,2001-04-19,E,E11,E11,3
11,17.0,2001-04-19,E,E11,E11,3
11,12.0,2001-04-19,E,E11,E11,3
14,,2001-04-23,V,V14,V14,3
1,,2001-04-24,V,V1,V1,0
7,86.0,2001-04-26,E,E7,E7D,0
11,351.8,2001-04-28,E,E11,E11DD,0
0,10.0,2001-04-29,E,E0,E0,0
2,,2001-05-03,V,V2,V2,1
4,10.0,2001-05-07,E,E4,E4,1
11,67.9,2001-05-09,E,E11,E11,1
14,,2001-05-11,V,V14,V14,2
10,,2001-05-12,V,V10,V10,2
11,368.7,2001-05-19,E,E11,E11DD,3
0,33.0,2001-05-20,E,E0,E0,3
10,143.1,2001-05-25,E,E10,E10D,0
7,33.0,2001-05-25,E,E7,E7,0
11,406.5,2001-05-26,E,E11,E11DD,0
6,33.0,2001-05-28,E,E6,E6,0
6,,2001-05-28,V,V6,V6,0
11,14.0,2001-05-29,E,E11,E11,0
11,178.1,2001-06-03,E,E11,E11D,1
11,10.0,2001-06-05,E,E11,E11,1
11,10.0,2001-06-05,E,E11,E11,1
11,,2001-06-08,V,V11,V11,1
2,,2001-06-11,V,V2,V2,2
5,18.0,2001-06-14,E,E5,E5,2
11,,2001-06-14,V,V11,V11,2
1,33.0,2001-06-15,E,E1,E1,2
13,10.0,2001-06-15,E,E13,E13,2
11,10.0,2001-06-16,E,E11,E11,2
3,146.6,2001-06-19,E,E3,E3D,3
3,33.0,2001-06-23,E,E3,E3,0
3,33.0,2001-06-23,E,E3,E3,0
7,33.0,2001-06-24,E,E7,E7,0
3,24.0,2001-06-26,E,E3,E3,0
4,10.0,2001-06-26,E,E4,E4,0
3,273.9,2001-06-29,E,E3,E3D,0
11,28.0,2001-07-01,E,E11,E11,1
1,290.0,2001-07-03,E,E1,E1D,1
11,184.6,2001-07-04,E,E11,E11D,1
3,33.0,2001-07-04,E,E3,E3,1
3,62.0,2001-07-05,E,E3,E3,1
3,33.0,2001-07-07,E,E3,E3,1
11,10.0,2001-07-08,E,E11,E11,2
9,,2001-07-17,V,V9,V9,3
10,,2001-07-21,V,V10,V10,0
6,33.0,2001-07-22,E,E6,E6,0
7,,2001-07-23,V,V7,V7,0
3,33.0,2001-07-24,E,E3,E3,0
9,10.0,2001-07-26,E,E9,E9,0
5,131.85,2001-07-28,E,E5,E5D,0
7,14.0,2001-08-02,E,E7,E7,1
4,10.0,2001-08-06,E,E4,E4,2
7,38.0,2001-08-13,E,E7,E7,2
11,33.0,2001-08-21,E,E11,E11,0
11,10.0,2001-08-23,E,E11,E11,0
14,24.5,2001-08-25,E,E14,E14,0
6,33.0,2001-08-27,E,E6,E6,0
11,,2001-08-28,V,V11,V11,1
3,,2001-09-01,V,V3,V3,1
10,10.0,2001-09-02,E,E10,E10,1
4,10.0,2001-09-02,E,E4,E4,1
6,33.0,2001-09-11,E,E6,E6,2
11,608.1,2001-09-12,E,E11,E11DD,2
5,10.0,2001-09-14,E,E5,E5,3
11,10.0,2001-09-15,E,E11,E11,3
6,131.8,2001-09-18,E,E6,E6D,0
1,,2001-09-21,V,V1,V1,0
10,,2001-09-25,V,V10,V10,0
11,,2001-09-27,V,V11,V11,1
11,33.0,2001-09-29,E,E11,E11,1
11,33.0,2001-09-30,E,E11,E11,1
3,,2001-10-01,V,V3,V3,1
11,106.9,2001-10-02,E,E11,E11D,1
7,,2001-10-05,V,V7,V7,2
6,10.0,2001-10-07,E,E6,E6,2
7,48.5,2001-10-08,E,E7,E7,2
7,33.0,2001-10-08,E,E7,E7,2
