cluster,depth,mag,startday,startmonth,startyear,type
6,33.0,7.5,1,1,2001,E
6,33.0,6.8,1,1,2001,E
6,33.0,6.4,2,1,2001,E
11,33.0,6.0,2,1,2001,E
11,103.0,7.1,9,1,2001,E
5,36.38,6.93,10,1,2001,E
5,10.0,6.0,11,1,2001,E
14,60.0,7.7,13,1,2001,E
2,10.0,6.4,15,1,2001,E
10,33.0,6.0,16,1,2001,E
10,28.0,6.9,16,1,2001,E
0,93.2,6.0,19,1,2001,E
11,50.0,6.3,19,1,2001,E
3,33.0,6.0,19,1,2001,E
13,16.0,7.7,26,1,2001,E
6,33.0,6.2,29,1,2001,E
5,33.0,6.0,1,2,2001,E
14,10.0,6.6,13,2,2001,E
10,36.0,7.4,13,2,2001,E
11,10.0,6.1,14,2,2001,E
11,10.0,6.2,14,2,2001,E
6,521.0,6.1,16,2,2001,E
5,20.0,6.2,17,2,2001,E
2,10.0,6.0,18,2,2001,E
6,35.0,7.1,24,2,2001,E
6,33.0,6.2,24,2,2001,E
13,202.5,6.2,25,2,2001,E
7,392.0,6.1,26,2,2001,E
11,10.0,6.7,28,2,2001,E
11,10.0,6.3,28,2,2001,E
14,65.3,6.1,28,2,2001,E
12,51.9,6.8,28,2,2001,E
11,10.0,6.4,6,3,2001,E
9,10.0,6.0,7,3,2001,E
6,109.4,6.0,14,3,2001,E
10,33.0,6.0,15,3,2001,E
3,37.0,6.0,15,3,2001,E
6,33.0,6.5,19,3,2001,E
7,33.0,6.0,23,3,2001,E
7,50.0,6.8,24,3,2001,E
6,33.0,6.4,4,4,2001,E
11,33.0,6.2,7,4,2001,E
3,11.0,6.7,9,4,2001,E
3,26.0,6.2,13,4,2001,E
7,10.0,6.0,14,4,2001,E
11,12.0,6.0,19,4,2001,E
11,20.0,6.2,19,4,2001,E
11,17.0,6.7,19,4,2001,E
7,86.0,6.0,26,4,2001,E
11,351.8,6.9,28,4,2001,E
0,10.0,6.2,29,4,2001,E
4,10.0,6.2,7,5,2001,E
11,67.9,6.3,9,5,2001,E
11,368.7,6.0,19,5,2001,E
0,33.0,6.3,20,5,2001,E
7,33.0,6.7,25,5,2001,E
10,143.1,6.3,25,5,2001,E
11,406.5,6.4,26,5,2001,E
6,33.0,6.0,28,5,2001,E
11,14.0,6.4,29,5,2001,E
11,178.1,7.2,3,6,2001,E
11,10.0,6.4,5,6,2001,E
11,10.0,6.0,5,6,2001,E
5,18.0,6.5,14,6,2001,E
1,33.0,6.0,15,6,2001,E
13,10.0,6.0,15,6,2001,E
11,10.0,6.0,16,6,2001,E
3,146.6,6.0,19,6,2001,E
3,33.0,8.4,23,6,2001,E
3,33.0,6.1,23,6,2001,E
7,33.0,6.0,24,6,2001,E
3,24.0,6.7,26,6,2001,E
4,10.0,6.1,26,6,2001,E
3,273.9,6.1,29,6,2001,E
11,28.0,6.1,1,7,2001,E
1,290.0,6.5,3,7,2001,E
11,184.6,6.5,4,7,2001,E
3,33.0,6.2,4,7,2001,E
3,62.0,6.6,5,7,2001,E
3,33.0,7.6,7,7,2001,E
11,10.0,6.2,8,7,2001,E
6,33.0,6.0,22,7,2001,E
3,33.0,6.4,24,7,2001,E
9,10.0,6.5,26,7,2001,E
5,131.85,6.34,28,7,2001,E
7,14.0,6.3,2,8,2001,E
4,10.0,6.7,6,8,2001,E
7,38.0,6.4,13,8,2001,E
11,33.0,7.1,21,8,2001,E
11,10.0,6.2,23,8,2001,E
14,24.5,6.1,25,8,2001,E
6,33.0,6.1,27,8,2001,E
10,10.0,6.1,2,9,2001,E
4,10.0,6.3,2,9,2001,E
6,33.0,6.5,11,9,2001,E
11,608.1,6.5,12,9,2001,E
5,10.0,6.0,14,9,2001,E
11,10.0,6.0,15,9,2001,E
6,131.8,6.0,18,9,2001,E
11,33.0,6.4,29,9,2001,E
11,33.0,6.2,30,9,2001,E
11,106.9,6.2,2,10,2001,E
6,10.0,6.2,7,10,2001,E
7,48.5,6.5,8,10,2001,E
7,33.0,6.4,8,10,2001,E
5,20.0,6.1,12,10,2001,E
1,37.0,7.0,12,10,2001,E
6,33.0,6.0,13,10,2001,E
14,33.0,6.0,17,10,2001,E
6,33.0,7.5,19,10,2001,E
11,18.0,6.7,21,10,2001,E
11,33.0,6.1,26,10,2001,E
11,33.0,7.0,31,10,2001,E
11,564.1,6.3,5,11,2001,E
14,10.0,6.1,9,11,2001,E
0,33.0,6.1,13,11,2001,E
7,33.0,6.0,13,11,2001,E
7,33.0,6.0,13,11,2001,E
13,10.0,7.8,14,11,2001,E
9,10.0,6.3,15,11,2001,E
6,33.0,6.2,20,11,2001,E
11,10.0,6.3,22,11,2001,E
11,10.0,6.2,22,11,2001,E
13,106.5,6.1,23,11,2001,E
11,10.0,6.0,27,11,2001,E
0,84.9,6.4,28,11,2001,E
11,100.5,6.0,2,12,2001,E
7,123.8,6.5,2,12,2001,E
11,10.0,6.4,3,12,2001,E
8,33.0,6.2,8,12,2001,E
6,156.3,6.1,9,12,2001,E
11,33.0,6.1,12,12,2001,E
6,10.0,7.1,12,12,2001,E
8,14.0,6.8,18,12,2001,E
11,74.2,6.0,22,12,2001,E
11,16.0,6.8,23,12,2001,E
11,153.2,6.2,27,12,2001,E
14,160.6,6.0,28,12,2001,E
4,10.0,6.0,1,1,2002,E
6,138.1,6.3,1,1,2002,E
11,665.8,6.2,2,1,2002,E
11,21.0,7.2,2,1,2002,E
13,129.3,6.2,3,1,2002,E
11,10.0,6.6,3,1,2002,E
6,11.0,6.7,10,1,2002,E
11,43.6,6.4,13,1,2002,E
11,10.0,6.0,15,1,2002,E
10,10.0,6.1,15,1,2002,E
11,41.1,6.2,15,1,2002,E
0,80.2,6.4,16,1,2002,E
9,88.0,6.2,22,1,2002,E
7,33.0,6.1,28,1,2002,E
11,33.0,6.2,28,1,2002,E
11,33.0,6.0,30,1,2002,E
9,5.0,6.5,3,2,2002,E
9,10.0,6.0,3,2,2002,E
11,39.0,6.6,5,2,2002,E
4,10.0,6.0,15,2,2002,E
11,10.0,6.1,19,2,2002,E
11,40.2,6.3,28,2,2002,E
13,209.0,6.3,3,3,2002,E
13,225.6,7.4,3,3,2002,E
6,31.0,7.5,5,3,2002,E
6,23.3,6.0,8,3,2002,E
3,118.4,6.0,9,3,2002,E
2,10.0,6.0,17,3,2002,E
6,148.1,6.1,19,3,2002,E
13,8.0,6.1,25,3,2002,E
8,33.0,6.4,26,3,2002,E
3,125.1,6.5,28,3,2002,E
8,32.8,7.1,31,3,2002,E
11,10.0,6.2,7,4,2002,E
11,10.0,6.2,8,4,2002,E
11,10.0,6.2,11,4,2002,E
0,24.9,6.8,18,4,2002,E
3,62.0,6.7,18,4,2002,E
11,33.0,6.0,20,4,2002,E
4,10.0,6.2,24,4,2002,E
1,85.7,7.1,26,4,2002,E
11,130.8,6.2,8,5,2002,E
2,10.0,6.2,14,5,2002,E
8,10.0,6.2,15,5,2002,E
3,52.1,6.0,23,5,2002,E
5,33.0,6.4,25,5,2002,E
3,22.2,6.0,28,5,2002,E
8,33.0,6.1,28,5,2002,E
11,10.0,6.3,6,6,2002,E
1,33.0,6.1,10,6,2002,E
2,10.0,6.6,13,6,2002,E
14,35.0,6.4,16,6,2002,E
4,10.0,6.0,17,6,2002,E
11,33.0,6.7,17,6,2002,E
3,54.0,6.6,18,6,2002,E
11,33.0,6.0,21,6,2002,E
13,10.0,6.5,22,6,2002,E
10,11.0,6.5,27,6,2002,E
11,186.7,6.0,27,6,2002,E
7,566.0,7.3,28,6,2002,E
11,33.0,6.2,29,6,2002,E
11,620.4,6.5,30,6,2002,E
11,31.2,6.2,3,7,2002,E
4,10.0,6.1,19,7,2002,E
3,33.0,6.2,30,7,2002,E
14,10.0,6.5,31,7,2002,E
7,426.1,6.3,2,8,2002,E
3,10.0,6.0,4,8,2002,E
14,10.0,6.0,7,8,2002,E
11,364.1,6.1,9,8,2002,E
11,112.2,6.0,12,8,2002,E
1,10.0,6.3,14,8,2002,E
1,30.0,6.5,14,8,2002,E
6,10.0,6.2,15,8,2002,E
11,580.0,7.7,19,8,2002,E
11,675.4,7.7,19,8,2002,E
11,677.4,6.1,19,8,2002,E
7,9.0,6.3,20,8,2002,E
7,42.6,6.1,24,8,2002,E
13,10.0,6.0,1,9,2002,E
9,5.0,6.0,6,9,2002,E
11,209.9,6.0,7,9,2002,E
11,618.8,6.0,8,9,2002,E
6,13.0,7.6,8,9,2002,E
10,21.0,6.5,13,9,2002,E
7,586.3,6.4,15,9,2002,E
6,10.0,6.3,16,9,2002,E
6,10.0,6.0,17,9,2002,E
6,10.0,6.0,20,9,2002,E
6,10.0,6.4,20,9,2002,E
3,119.6,6.3,24,9,2002,E
11,10.0,6.1,24,9,2002,E
11,10.0,6.3,24,9,2002,E
11,19.0,6.3,24,9,2002,E
0,10.0,6.5,3,10,2002,E
6,315.8,6.0,3,10,2002,E
11,621.1,6.3,4,10,2002,E
6,10.0,6.3,6,10,2002,E
2,10.0,6.0,8,10,2002,E
6,10.0,7.6,10,10,2002,E
6,10.0,6.7,10,10,2002,E
6,10.0,6.0,10,10,2002,E
6,10.0,6.0,10,10,2002,E
14,534.3,6.9,12,10,2002,E
8,33.0,6.1,12,10,2002,E
11,10.0,6.1,13,10,2002,E
7,61.4,6.1,14,10,2002,E
7,102.4,6.2,16,10,2002,E
11,33.0,6.0,16,10,2002,E
11,627.6,6.2,17,10,2002,E
6,33.0,6.3,17,10,2002,E
4,10.0,6.1,18,10,2002,E
6,33.0,6.0,19,10,2002,E
7,33.0,6.3,19,10,2002,E
11,549.0,6.2,22,10,2002,E
5,4.2,6.36,23,10,2002,E
9,11.0,6.2,24,10,2002,E
11,10.0,6.1,31,10,2002,E
10,30.0,7.4,2,11,2002,E
10,27.0,6.3,2,11,2002,E
7,39.0,6.4,3,11,2002,E
5,4.2,7.9,3,11,2002,E
5,33.0,6.6,7,11,2002,E
14,33.0,6.0,9,11,2002,E
3,120.0,6.2,12,11,2002,E
3,10.0,6.6,15,11,2002,E
7,459.1,7.3,17,11,2002,E
13,33.0,6.3,20,11,2002,E
5,20.6,6.1,26,11,2002,E
4,10.0,6.0,10,12,2002,E
11,530.6,6.1,10,12,2002,E
6,10.0,6.3,11,12,2002,E
11,34.0,6.7,12,12,2002,E
3,10.0,6.2,17,12,2002,E
3,10.0,6.1,18,12,2002,E
11,33.0,6.3,20,12,2002,E
14,33.0,6.0,23,12,2002,E
6,10.0,6.3,30,12,2002,E
11,378.0,6.5,4,1,2003,E
8,10.0,6.0,6,1,2003,E
11,10.0,6.0,9,1,2003,E
11,71.9,6.7,10,1,2003,E
5,10.0,6.3,16,1,2003,E
11,33.0,7.3,20,1,2003,E
14,24.0,6.5,21,1,2003,E
0,24.0,7.6,22,1,2003,E
9,10.0,6.1,27,1,2003,E
2,10.0,6.4,27,1,2003,E
11,33.0,6.3,10,2,2003,E
11,10.0,6.2,12,2,2003,E
6,10.0,6.3,15,2,2003,E
5,19.0,6.6,19,2,2003,E
13,11.0,6.3,24,2,2003,E
6,28.1,6.0,1,3,2003,E
3,10.0,6.2,2,3,2003,E
6,45.9,6.0,9,3,2003,E
6,93.8,6.4,10,3,2003,E
11,40.2,6.8,11,3,2003,E
0,10.0,6.4,12,3,2003,E
6,33.0,6.3,14,3,2003,E
11,274.9,6.4,14,3,2003,E
7,30.2,6.1,15,3,2003,E
5,33.0,7.1,17,3,2003,E
5,33.0,6.2,17,3,2003,E
11,33.5,6.2,19,3,2003,E
6,33.0,6.5,25,3,2003,E
11,41.2,6.2,28,3,2003,E
6,33.0,6.2,30,3,2003,E
11,46.8,6.2,31,3,2003,E
9,10.0,6.3,2,4,2003,E
14,10.0,6.2,11,4,2003,E
13,14.0,6.4,17,4,2003,E
2,10.0,6.5,17,4,2003,E
7,43.8,6.1,24,4,2003,E
11,77.4,6.3,27,4,2003,E
14,559.9,6.0,27,4,2003,E
7,62.5,6.0,29,4,2003,E
13,10.0,6.4,1,5,2003,E
11,33.0,6.2,3,5,2003,E
11,62.4,6.7,4,5,2003,E
11,33.0,6.0,4,5,2003,E
11,45.6,6.4,4,5,2003,E
6,123.6,6.4,5,5,2003,E
6,56.0,6.2,5,5,2003,E
2,10.0,6.3,9,5,2003,E
6,30.2,6.1,11,5,2003,E
11,33.0,6.3,13,5,2003,E
14,41.5,6.7,14,5,2003,E
10,79.1,6.0,14,5,2003,E
11,563.8,6.0,19,5,2003,E
0,10.0,6.1,19,5,2003,E
9,12.0,6.8,21,5,2003,E
7,68.0,7.0,26,5,2003,E
6,31.0,7.0,26,5,2003,E
6,565.8,6.9,26,5,2003,E
2,10.0,6.2,28,5,2003,E
3,33.0,6.0,3,6,2003,E
11,33.0,6.6,7,6,2003,E
8,44.5,6.0,10,6,2003,E
11,186.3,6.3,12,6,2003,E
5,20.0,6.5,15,6,2003,E
7,174.8,6.9,16,6,2003,E
14,558.1,7.1,20,6,2003,E
3,33.0,6.8,20,6,2003,E
5,20.0,6.9,23,6,2003,E
6,10.0,6.0,26,6,2003,E
11,10.0,6.3,28,6,2003,E
6,635.4,6.0,1,7,2003,E
6,33.0,6.0,1,7,2003,E
11,10.0,6.0,3,7,2003,E
11,10.0,6.1,4,7,2003,E
5,20.0,6.0,12,7,2003,E
11,33.0,6.5,15,7,2003,E
2,10.0,7.6,15,7,2003,E
0,10.0,6.0,17,7,2003,E
11,189.6,6.4,21,7,2003,E
8,10.0,6.0,21,7,2003,E
11,33.0,6.0,22,7,2003,E
