Latitude,Longitude,VEI,cluster,depth,mag,startdate,type,sequence,scale
-38.12,176.5,1,11,,,1900-01-01,V,V11,
36.406,138.523,2,7,,,1900-01-22,V,V7,
13.257,123.685,2,8,,,1900-03-01,V,V8,
-8.108,112.92,2,10,,,1900-03-29,V,V10,
-21.244,55.708,0,2,,,1900-05-11,V,V2,
62.006,-144.017,2,5,,,1900-06-01,V,V5,
-4.03,103.13,2,10,,,1900-06-04,V,V10,
37.647,140.281,2,7,,,1900-07-17,V,V7,
36.618,138.528,1,7,,,1900-10-01,V,V7,
57.09,-153.48,,5,0.0,8.3,1900-10-10,E,E5,
-4.03,103.13,2,10,,,1900-10-26,V,V10,
-8.42,116.47,2,6,,,1900-11-30,V,V6,
60.0,-135.0,,5,0.0,7.1,1901-01-18,E,E5,
-8.108,112.92,2,10,,,1901-01-29,V,V10,
1.112,124.737,2,6,,,1901-02-04,V,V6,
-21.244,55.708,2,2,,,1901-02-21,V,V2,
-33.425,-69.797,2,3,,,1901-04-01,V,V3,
-4.523,129.881,2,6,,,1901-05-18,V,V6,
-7.93,112.308,3,10,,,1901-05-22,V,V10,
-21.88,-68.4,2,3,,,1901-05-25,V,V3,
-8.42,116.47,2,6,,,1901-06-01,V,V6,
-21.244,55.708,2,2,,,1901-07-04,V,V2,
53.256,158.836,2,7,,,1901-07-07,V,V7,
52.0,-160.0,,5,0.0,6.6,1901-12-30,E,E5,
51.45,-171.02,,5,0.0,7.8,1901-12-31,E,E5,
52.38,-167.45,,5,0.0,7.8,1902-01-01,E,E5,
60.485,-152.742,3,5,,,1902-01-18,V,V5,
10.412,123.132,2,6,,,1902-01-31,V,V6,
-7.542,110.442,1,10,,,1902-02-03,V,V10,
36.406,138.523,2,7,,,1902-02-07,V,V7,
19.421,-155.287,0,5,,,1902-02-14,V,V5,
-8.119,114.056,2,6,,,1902-02-16,V,V6,
12.422,-86.54,2,14,,,1902-03-31,V,V14,
-1.408,29.2,0,9,,,1902-04-22,V,V9,
14.809,-61.165,4,14,,,1902-04-23,V,V14,
-7.3,109.992,1,10,,,1902-05-01,V,V10,
13.33,-61.18,4,14,,,1902-05-06,V,V14,
38.65,-28.08,0,9,,,1902-05-07,V,V9,
13.813,-89.633,2,14,,,1902-05-10,V,V14,
19.421,-155.287,0,5,,,1902-06-03,V,V5,
11.984,-86.161,2,14,,,1902-07-15,V,V14,
62.006,-144.017,2,5,,,1902-07-15,V,V5,
36.618,138.528,1,7,,,1902-07-15,V,V7,
36.406,138.523,2,7,,,1902-08-05,V,V7,
30.484,140.303,3,7,,,1902-08-07,V,V7,
-21.244,55.708,2,2,,,1902-08-13,V,V2,
14.756,-91.552,6,14,,,1902-10-24,V,V14,
-13.612,-172.525,1,11,,,1902-10-30,V,V11,
-7.542,110.442,2,10,,,1902-12-01,V,V10,
64.416,-17.316,4,9,,,1902-12-01,V,V9,
64.633,-17.516,2,9,,,1902-12-01,V,V9,
-77.53,167.17,0,2,,,1903-01-01,V,V2,
50.85,-175.16,,5,0.0,7.0,1903-01-17,E,E5,
52.0,175.0,,5,0.0,6.8,1903-02-05,E,E5,
19.514,-103.62,3,0,,,1903-02-15,V,V0,
27.881,128.223,2,8,,,1903-03-15,V,V8,
-8.108,112.92,2,10,,,1903-03-26,V,V10,
14.002,120.993,2,8,,,1903-04-01,V,V8,
41.98,128.08,,7,,,1903-04-15,V,V7,
-38.692,-71.729,2,3,,,1903-05-12,V,V3,
61.56,-158.54,,5,0.0,8.3,1903-06-02,E,E5,
31.934,130.862,2,8,,,1903-08-29,V,V8,
19.475,-155.608,0,5,,,1903-09-01,V,V5,
-0.677,-78.436,3,14,,,1903-09-26,V,V14,
-7.3,109.992,2,10,,,1903-10-17,V,V10,
13.813,-89.633,2,14,,,1903-11-01,V,V14,
19.421,-155.287,0,5,,,1903-11-25,V,V5,
-8.119,114.056,2,6,,,1903-11-28,V,V6,
-6.73,129.5,2,6,,,1903-12-08,V,V6,
-8.108,112.92,2,10,,,1904-01-02,V,V10,
13.853,-89.63,2,14,,,1904-01-12,V,V14,
56.056,160.642,2,7,,,1904-01-31,V,V7,
-11.75,43.38,2,2,,,1904-02-25,V,V2,
14.002,120.993,1,8,,,1904-04-01,V,V8,
-1.408,29.2,2,9,,,1904-04-01,V,V9,
52.449,158.196,2,7,,,1904-04-02,V,V7,
3.138,125.491,2,6,,,1904-04-17,V,V6,
-0.381,100.473,1,10,,,1904-04-18,V,V10,
2.3,125.37,3,6,,,1904-04-22,V,V6,
-4.08,145.037,,11,,,1904-04-30,V,V11,
11.984,-86.161,2,14,,,1904-05-01,V,V14,
-6.976,129.144,2,6,,,1904-06-03,V,V6,
-7.242,109.208,2,10,,,1904-07-14,V,V10,
36.406,138.523,2,7,,,1904-08-04,V,V7,
-4.92,151.158,4,11,,,1904-08-09,V,V11,
-21.244,55.708,2,2,,,1904-08-19,V,V2,
64.62,-148.23,,5,0.0,7.8,1904-08-27,E,E5,
3.138,125.491,2,6,,,1904-08-27,V,V6,
1.352,124.865,2,6,,,1904-10-04,V,V6,
-4.08,145.037,3,11,,,1904-10-26,V,V11,
24.285,141.481,3,1,,,1904-11-14,V,V1,
-39.157,175.632,2,11,,,1904-11-22,V,V11,
-7.542,110.442,2,10,,,1905-01-01,V,V10,
12.422,-86.54,2,14,,,1905-01-16,V,V14,
50.73,-178.55,,5,0.0,7.7,1905-02-14,E,E5,
-21.244,55.708,2,2,,,1905-02-15,V,V2,
-38.12,176.5,1,11,,,1905-02-18,V,V11,
19.421,-155.287,0,5,,,1905-02-22,V,V5,
51.28,174.83,,5,0.0,7.2,1905-03-22,E,E5,
2.78,125.4,2,6,,,1905-05-21,V,V6,
-38.12,176.5,1,11,,,1905-06-17,V,V11,
-1.408,29.2,2,9,,,1905-07-22,V,V9,
-8.108,112.92,2,10,,,1905-08-04,V,V10,
-13.612,-172.525,2,11,,,1905-08-04,V,V11,
42.063,140.677,2,7,,,1905-08-19,V,V7,
52.06,171.45,,7,0.0,7.4,1905-09-15,E,E7,
36.618,138.528,2,7,,,1905-10-01,V,V7,
-34.164,-69.832,2,3,,,1905-10-28,V,V3,
-0.381,100.473,2,10,,,1905-11-01,V,V10,
-8.73,120.98,2,6,,,1905-11-01,V,V6,
10.412,123.132,2,6,,,1905-11-06,V,V6,
53.88,-161.68,,5,0.0,7.0,1905-12-10,E,E5,
-19.75,-175.07,2,11,,,1906-01-01,V,V11,
11.984,-86.161,2,14,,,1906-01-02,V,V14,
-7.542,110.442,2,10,,,1906-01-26,V,V10,
-38.12,176.5,1,11,,,1906-02-21,V,V11,
-18.02,-174.325,,11,,,1906-03-01,V,V11,
-39.157,175.632,2,11,,,1906-03-01,V,V11,
53.93,-168.03,3,5,,,1906-03-01,V,V5,
-39.28,175.57,2,11,,,1906-03-15,V,V11,
36.406,138.523,2,7,,,1906-04-06,V,V7,
31.888,139.918,1,7,,,1906-04-07,V,V7,
-39.42,-71.93,2,3,,,1906-04-22,V,V3,
-8.42,116.47,1,6,,,1906-04-29,V,V6,
13.6,40.67,0,13,,,1906-05-01,V,V13,
51.923,-177.168,,5,,,1906-05-01,V,V5,
32.884,131.104,3,8,,,1906-06-07,V,V8,
1.112,124.737,2,6,,,1906-06-17,V,V6,
-36.863,-71.377,2,3,,,1906-08-06,V,V3,
50.77,179.73,,5,0.0,8.0,1906-08-17,E,E5,
-0.677,-78.436,2,14,,,1906-08-21,V,V14,
-7.3,109.992,2,10,,,1906-09-22,V,V10,
-7.942,112.95,2,10,,,1906-09-25,V,V10,
-16.355,-70.903,2,3,,,1906-10-01,V,V3,
-19.75,-175.07,2,11,,,1906-12-01,V,V11,
19.421,-155.287,0,5,,,1906-12-02,V,V5,
53.0,-165.0,,5,0.0,7.6,1906-12-23,E,E5,
-8.108,112.92,2,10,,,1907-01-07,V,V10,
