Year,Value
190001,-0.2444
190002,-0.0966
190003,-0.0514
190004,-0.1013
190005,-0.0414
190006,-0.0519
190007,-0.0792
190008,-0.0756
190009,-0.0693
190010,0.0417
190011,-0.1436
190012,0.0253
190101,-0.1320
190102,-0.0773
190103,-0.0395
190104,-0.0725
190105,-0.1334
190106,-0.1379
190107,-0.1605
190108,-0.1403
190109,-0.2133
190110,-0.2903
190111,-0.1481
190112,-0.2485
190201,-0.0947
190202,-0.0460
190203,-0.2122
190204,-0.2768
190205,-0.2684
190206,-0.3457
190207,-0.2998
190208,-0.2764
190209,-0.2464
190210,-0.2941
190211,-0.3538
190212,-0.3797
190301,-0.2263
190302,-0.0982
190303,-0.2926
190304,-0.3628
190305,-0.4035
190306,-0.3850
190307,-0.3429
190308,-0.4421
190309,-0.3836
190310,-0.4418
190311,-0.4025
190312,-0.3956
190401,-0.5505
190402,-0.4728
190403,-0.5241
190404,-0.4822
190405,-0.4369
190406,-0.4486
190407,-0.4636
190408,-0.4371
190409,-0.4698
190410,-0.4139
190411,-0.1761
190412,-0.2477
190501,-0.3590
190502,-0.6253
190503,-0.4009
190504,-0.4570
190505,-0.2941
190506,-0.2578
190507,-0.1983
190508,-0.2315
190509,-0.2316
190510,-0.3049
190511,-0.0964
190512,-0.1389
190601,-0.1781
190602,-0.2431
190603,-0.1532
190604,-0.0574
190605,-0.2222
190606,-0.1796
190607,-0.2533
190608,-0.2407
190609,-0.3100
190610,-0.2867
190611,-0.3749
190612,-0.1721
190701,-0.3547
190702,-0.4133
190703,-0.2898
190704,-0.3623
190705,-0.4792
190706,-0.3826
190707,-0.3633
190708,-0.3453
190709,-0.3493
190710,-0.3115
190711,-0.5168
190712,-0.4019
190801,-0.3690
190802,-0.3853
190803,-0.6140
190804,-0.4879
190805,-0.4087
190806,-0.4135
190807,-0.3963
190808,-0.4883
190809,-0.4060
190810,-0.5245
190811,-0.4900
190812,-0.3884
190901,-0.5567
190902,-0.4654
190903,-0.5474
190904,-0.5350
190905,-0.4599
190906,-0.4237
190907,-0.4418
190908,-0.3122
190909,-0.3693
190910,-0.3981
190911,-0.2823
190912,-0.4143
191001,-0.3118
191002,-0.3678
191003,-0.4315
191004,-0.3463
191005,-0.3115
191006,-0.3622
191007,-0.3328
191008,-0.3391
191009,-0.3403
191010,-0.4269
191011,-0.5008
191012,-0.5713
191101,-0.5164
191102,-0.5369
191103,-0.5778
191104,-0.5163
191105,-0.4802
191106,-0.4466
191107,-0.4689
191108,-0.4581
191109,-0.4013
191110,-0.3451
191111,-0.2596
191112,-0.2458
191201,-0.2816
191202,-0.1178
191203,-0.3173
191204,-0.2081
191205,-0.2322
191206,-0.2653
191207,-0.3208
191208,-0.4545
191209,-0.4924
191210,-0.5237
191211,-0.4202
191212,-0.3619
191301,-0.3576
191302,-0.3929
191303,-0.4145
191304,-0.3554
191305,-0.4020
191306,-0.3852
191307,-0.3570
191308,-0.3303
191309,-0.3573
191310,-0.3142
191311,-0.1396
191312,-0.0415
191401,0.0916
191402,-0.1217
191403,-0.1660
191404,-0.2521
191405,-0.1693
191406,-0.1974
191407,-0.2116
191408,-0.1796
191409,-0.1866
191410,-0.0996
191411,-0.1265
191412,-0.1064
191501,-0.1404
191502,-0.0202
191503,-0.1109
191504,0.0158
191505,-0.0738
191506,-0.0919
191507,-0.0325
191508,-0.0770
191509,-0.1160
191510,-0.1751
191511,-0.0154
191512,-0.0534
191601,-0.1835
191602,-0.1822
191603,-0.3011
191604,-0.2048
191605,-0.2293
191606,-0.3885
191607,-0.2912
191608,-0.2789
191609,-0.2654
191610,-0.2695
191611,-0.3977
191612,-0.5773
191701,-0.4287
191702,-0.4771
191703,-0.4299
191704,-0.3170
191705,-0.4537
191706,-0.3457
191707,-0.1746
191708,-0.1749
191709,-0.0635
191710,-0.2639
191711,-0.1344
191712,-0.5363
191801,-0.2155
191802,-0.2928
191803,-0.1836
191804,-0.3000
191805,-0.2784
191806,-0.1788
191807,-0.2020
191808,-0.1756
191809,-0.1500
191810,-0.1000
191811,-0.1168
191812,-0.3222
191901,-0.2421
191902,-0.0581
191903,-0.2403
191904,-0.0730
191905,-0.1857
191906,-0.2387
191907,-0.2156
191908,-0.2079
191909,-0.1820
191910,-0.2191
191911,-0.3170
191912,-0.2966
192001,-0.1162
192002,-0.2282
192003,-0.0620
192004,-0.2134
192005,-0.1706
192006,-0.2578
192007,-0.2471
192008,-0.2307
192009,-0.1788
192010,-0.2128
192011,-0.2539
192012,-0.3901
192101,-0.0597
192102,-0.1518
192103,-0.2212
192104,-0.2085
192105,-0.1927
192106,-0.1681
192107,-0.1166
192108,-0.1947
192109,-0.1494
192110,-0.0685
192111,-0.1886
192112,-0.0838
192201,-0.3226
192202,-0.2935
192203,-0.0828
192204,-0.1324
192205,-0.2681
192206,-0.2852
192207,-0.2653
192208,-0.2799
192209,-0.2551
192210,-0.2509
192211,-0.1940
192212,-0.1579
192301,-0.2169
192302,-0.3763
192303,-0.2701
192304,-0.3396
192305,-0.2521
192306,-0.1971
192307,-0.2822
192308,-0.2839
192309,-0.2464
192310,-0.1622
192311,0.0272
192312,0.0041
192401,-0.2507
192402,-0.1864
192403,-0.1150
192404,-0.2470
192405,-0.1924
192406,-0.2275
192407,-0.2218
192408,-0.2908
192409,-0.2844
192410,-0.2883
192411,-0.2953
192412,-0.4015
192501,-0.3222
192502,-0.2789
192503,-0.1702
192504,-0.1650
192505,-0.2228
192506,-0.2305
192507,-0.2083
192508,-0.1363
192509,-0.1025
192510,-0.1283
192511,0.0597
192512,0.1383
192601,0.1690
192602,0.0831
192603,0.0777
192604,-0.1296
192605,-0.1307
192606,-0.1212
192607,-0.1556
192608,-0.0845
192609,-0.1002
192610,-0.0804
192611,-0.0748
192612,-0.2062
192701,-0.1689
192702,-0.1861
192703,-0.2532
192704,-0.2176
192705,-0.2250
192706,-0.1985
192707,-0.1013
192708,-0.1117
192709,-0.0254
192710,0.0202
192711,-0.0367
192712,-0.3066
192801,-0.0750
192802,-0.1413
192803,-0.2621
192804,-0.2457
192805,-0.1840
192806,-0.2756
192807,-0.1756
192808,-0.1965
192809,-0.1859
192810,-0.1223
192811,-0.0675
192812,-0.1650
192901,-0.4792
192902,-0.5431
192903,-0.2651
192904,-0.2993
192905,-0.2897
192906,-0.2754
192907,-0.2725
192908,-0.2089
192909,-0.2113
192910,-0.1190
192911,-0.0982
192912,-0.5113
193001,-0.3423
193002,-0.2066
193003,-0.0471
193004,-0.1966
193005,-0.1996
193006,-0.0771
193007,-0.0639
193008,-0.0834
193009,-0.1039
193010,0.0007
193011,0.1402
193012,0.0067
193101,-0.0467
193102,-0.2212
193103,-0.0066
193104,-0.1609
193105,-0.1543
193106,-0.0207
193107,-0.0134
193108,0.0041
193109,0.0010
193110,0.0102
193111,-0.1151
193112,-0.1088
193201,0.1540
193202,-0.1793
193203,-0.1868
193204,-0.0364
193205,-0.1710
193206,-0.1611
193207,-0.1244
193208,-0.1780
193209,-0.0729
193210,-0.0936
193211,-0.1980
193212,-0.1887
193301,-0.3112
193302,-0.3170
193303,-0.2505
193304,-0.2071
193305,-0.2102
193306,-0.2019
193307,-0.1822
193308,-0.1902
193309,-0.2228
193310,-0.1891
193311,-0.2588
193312,-0.4102
193401,-0.3173
193402,-0.0263
193403,-0.2620
193404,-0.2371
193405,-0.0492
193406,-0.0115
193407,-0.0966
193408,-0.0606
193409,-0.1285
193410,-0.0738
193411,0.0024
193412,-0.0293
193501,-0.2948
193502,0.1626
193503,-0.1520
193504,-0.2603
193505,-0.2072
193506,-0.1740
193507,-0.1176
193508,-0.1031
193509,-0.0920
193510,-0.0119
193511,-0.2709
193512,-0.1759
193601,-0.2566
193602,-0.3167
193603,-0.2116
193604,-0.1811
193605,-0.1186
193606,-0.1085
193607,-0.0128
193608,-0.0558
193609,-0.0417
193610,-0.0249
193611,-0.0294
193612,-0.0188
193701,-0.1720
193702,0.0363
193703,-0.1841
193704,-0.1272
193705,-0.0225
193706,0.0090
193707,-0.0025
193708,0.0902
193709,0.1301
193710,0.1121
193711,0.0076
193712,-0.0917
193801,-0.0376
193802,-0.0549
193803,0.0304
193804,0.0424
193805,-0.0191
193806,-0.0935
193807,-0.0496
193808,-0.0156
193809,0.0304
193810,0.0767
193811,0.0044
193812,-0.2545
193901,-0.1665
193902,-0.1087
193903,-0.1881
193904,-0.1308
193905,-0.0382
193906,-0.0115
193907,0.0069
193908,0.0567
193909,0.0120
193910,-0.0409
193911,0.0458
193912,0.4055
194001,-0.1254
194002,0.0529
194003,0.0680
194004,0.1259
194005,0.0555
194006,0.1051
194007,0.1480
194008,0.0920
194009,0.1482
194010,0.1003
194011,0.1009
194012,0.2698
