,VEI,cluster,latitude,longitude,startday,startmonth,startyear
0,1,8,-37.52,177.18,27,4,2016
1,1,0,-59.017,-26.533,24,4,2016
2,2,4,12.702,-87.004,22,4,2016
3,0,2,52.825,-169.944,16,4,2016
4,1,0,-39.42,-71.93,3,4,2016
5,2,7,-5.525,148.42,2,4,2016
6,2,9,-1.697,101.264,31,3,2016
7,2,1,50.324,155.461,29,3,2016
8,2,2,55.417,-161.894,27,3,2016
9,1,1,32.884,131.104,4,3,2016
10,2,7,-4.08,145.037,4,3,2016
11,2,7,-6.137,155.196,3,3,2016
12,2,9,12.77,124.05,22,2,2016
13,1,1,50.861,155.565,21,2,2016
14,2,4,10.025,-83.767,2,2,2016
15,1,4,13.434,-88.269,12,1,2016
16,2,0,-36.863,-71.377,8,1,2016
17,3,9,1.112,124.737,2,1,2016
18,1,4,11.984,-86.161,11,12,2015
19,2,3,37.734,15.004,2,12,2015
20,2,4,12.422,-86.54,1,12,2015
21,2,9,10.412,123.132,24,11,2015
22,1,9,-0.381,100.473,14,11,2015
23,2,9,-7.942,112.95,12,11,2015
24,2,0,-23.37,-67.73,30,10,2015
25,2,9,-8.42,116.47,25,10,2015
26,2,4,10.025,-83.767,23,10,2015
27,1,4,10.83,-85.324,17,10,2015
28,2,0,-37.856,-71.183,6,10,2015
29,0,1,50.861,155.565,2,10,2015
30,0,0,-57.8,-26.483,30,9,2015
31,2,4,12.602,-86.845,23,9,2015
32,2,1,32.884,131.104,3,9,2015
33,1,9,1.358,124.792,30,8,2015
34,3,1,56.056,160.642,28,8,2015
35,2,4,-0.677,-78.436,15,8,2015
36,0,4,12.3,-61.64,23,7,2015
37,2,9,0.8,127.33,16,7,2015
38,1,0,-15.78,-71.85,9,7,2015
39,1,9,-8.508,124.13,7,7,2015
40,1,1,35.233,139.021,29,6,2015
41,1,1,36.406,138.523,16,6,2015
42,1,2,52.825,-169.944,14,6,2015
43,2,4,12.702,-87.004,6,6,2015
44,3,1,30.443,130.217,29,5,2015
45,4,4,0.02,-91.35,25,5,2015
46,1,9,1.358,124.792,20,5,2015
47,2,4,12.602,-86.845,11,5,2015
48,2,9,12.77,124.05,1,5,2015
49,0,5,45.95,-130.0,23,4,2015
50,1,4,4.892,-75.324,22,4,2015
51,4,0,-41.326,-72.614,22,4,2015
52,3,4,-1.467,-78.442,6,4,2015
53,2,0,-16.355,-70.903,17,3,2015
